Name,Country,Type,Lat,Lon,Elv
Acamarachi,Chile,Stratovolcano,-23.3,-67.62,6046.0
Acigöl-Nevsehir,Turkey,Caldera,38.57,34.52,1689.0
Adams Seamount,Pacific Ocean,Submarine,-25.37,-129.27,-39.0
Adwa,Ethiopia,Stratovolcano,10.07,40.84,1733.0
Agrigan,Mariana Islands,Stratovolcano,18.77,145.67,965.0
Agua de Pau,Azores,Stratovolcano,37.77,-25.47,947.0
Agung,Lesser Sunda Islands,Stratovolcano,-8.34,115.51,3142.0
Akademia Nauk,Russia,Caldera,53.98,159.45,1180.0
Akan,Japan,Caldera,43.38,144.01,1499.0
Akita Komagatake,Japan,Stratovolcano,39.76,140.8,1637.0
Akuseki-jima,Japan,Stratovolcano,29.46,129.6,584.0
Alaid,Russia,Stratovolcano,50.86,155.55,2339.0
Alayta,Ethiopia,Shield,12.88,40.57,1501.0
Alcedo,Galápagos Islands,Shield,-0.43,-91.12,1130.0
Alid,Eritrea,Stratovolcano,14.88,39.92,904.0
Ambrym,Vanuatu,Shield,-16.25,168.12,1334.0
Aneityum,Vanuatu,Stratovolcano,-20.2,169.78,852.0
Antisana,Ecuador,Stratovolcano,-0.48,-78.14,5753.0
Ararat,Turkey,Stratovolcano,39.7,44.3,5165.0
Arintica,Chile,Complex Volcano,-18.73,-69.05,5597.0
Asama,Japan,Complex Volcano,36.4,138.53,2568.0
Askja,Iceland,Stratovolcano,65.03,-16.75,1516.0
Atitlán,Guatemala,Complex Volcano,14.58,-91.19,3535.0
Atsonupuri,Russia,Stratovolcano,44.81,147.14,1206.0
Avachinsky,Russia,Stratovolcano,53.26,158.83,2741.0
Axial Seamount,Pacific Ocean,Submarine,45.95,-130.0,-1410.0
Azufre,Chile,Complex Volcano,-21.79,-68.24,5846.0
Babuyon Claro,Philippines,Stratovolcano,19.5,121.9,1180.0
Bagana,Papua New Guinea,Cinder Cone,-6.1,155.2,1750.0
Bam,Papua New Guinea,Stratovolcano,-3.6,144.85,685.0
Bandai,Japan,Stratovolcano,37.6,140.1,1819.0
Barrier,Kenya,Complex Volcano,2.32,36.57,1032.0
Beerenberg,Norway,Stratovolcano,71.1,-8.2,2277.0
Bezymianny,Russia,Stratovolcano,55.98,160.58,2882.0
Bolshoi Semiachik,Russia,Stratovolcano,54.32,160.02,1720.0
Butajira,Ethiopia,Maar,8.05,38.35,2281.0
Camiguin de Babuyanes,Philippines,Stratovolcano,18.83,121.85,712.0
Capulin,USA,Cinder Cone,36.45,-104.09,2494.0
Cayambe,Ecuador,Stratovolcano,0.03,-77.99,5790.0
Chaine des Puys,France,Dome,45.78,2.97,1464.0
Chikurachki,Russia,Stratovolcano,50.33,155.46,5958.0
Cleveland,USA,Stratovolcano,52.83,-169.95,1730.0
Colima,Mexico,Stratovolcano,19.51,103.62,4100.0
Concepción,Nicaragua,Stratovolcano,11.5,85.6,1610.0
Cosigüina,Nicaragua,Shield,12.98,-87.56,847.0
Crater Lake,USA,Caldera,42.94,-122.11,2471.0
Daisetsu,Japan,Stratovolcano,43.7,142.9,2290.0
Damavand,Iran,Stratovolcano,35.95,52.11,5670.0
Dempo,Indonesia,Stratovolcano,-4.0,103.1,3173.0
Devils Tower,USA,Plug,44.6,-104.7,1558.0
Dieng Volcanic Complex,Indonesia,Complex Volcano,-7.2,109.9,2565.0
Dubbi,Eritrea,Stratovolcano,13.6,41.8,1625.0
East Epi,Vanuatu,Caldera,-16.7,168.4,-34.0
Egmont (Taranaki),New Zealand,Stratovolcano,-39.3,174.1,2518.0
El Chichon,Mexico,Caldera,17.36,-93.23,1060.0
Erebus,Antarctica,Stratovolcano,-77.5,167.2,3794.0
Etna,Italy,Stratovolcano,37.73,15.0,3350.0
Fernandina,Ecuador,Caldera,-0.37,-91.55,1476.0
Fogo,Cape Verde Islands,Stratovolcano,14.95,-24.35,2829.0
Frosty Peak,USA,Stratovolcano,55.08,-162.81,1920.0
Fuerteventura,Spain,Fissure vents,28.36,-14.02,529.0
Furnas,Azores (Portugal),Stratovolcano,37.76,-25.33,805.0
Galeras,Colombia,Stratovolcano,1.22,-77.37,4276.0
Gamalama,Indonesia,Stratovolcano,0.81,127.33,1715.0
Gamkonora,Indonesia,Stratovolcano,1.38,127.53,1635.0
Gaua,Vanuatu,Stratovolcano,-14.27,167.5,797.0
Glacier Peak,USA,Stratovolcano,48.11,-121.11,3213.0
Graciosa,Azores (Portugal),Stratovolcano,39.02,-27.97,402.0
Great Sitkin,USA,Stratovolcano,52.07,-176.13,1740.0
Grímsvötn,Iceland,Caldera,64.42,-17.33,1725.0
Guallatiri,Chile,Stratovolcano,-18.42,-69.09,6071.0
Hakone,Japan,,35.23,139.02,1439.0
Hibok-hibok,Philippines,Stratovolcano,9.2,124.7,1332.0
Hood,USA,Stratovolcano,45.4,-121.7,3426.0
Ibu,Indonesia,Stratovolcano,1.49,127.63,1325.0
Iliamna,USA,Stratovolcano,60.03,-153.09,3053.0
Iliniza,Ecuador,Stratovolcano,-0.66,-78.71,5248.0
Ilyinsky,Russia,Stratovolcano,51.49,157.2,1578.0
Iraya,Philippines,Stratovolcano,20.47,122.01,1009.0
Isanotski,USA,Stratovolcano,54.77,-163.72,2446.0
Iztaccihuatl,Mexico,Stratovolcano,19.18,-98.64,5286.0
Jailolo,Indonesia,Stratovolcano,1.08,127.42,1130.0
Jordan Craters,USA,Volcanic Field,43.1,-117.4,1400.0
Kaguyak,United States,Stratovolcano,58.62,-154.06,901.0
Kambalny,Russia,Stratovolcano,51.3,156.87,2156.0
Kanlaon,Philippines,Stratovolcano,10.41,123.13,2435.0
Karisimbi,CongoRwanda,Stratovolcano,-1.51,29.45,4507.0
Karymsky,Russia,Stratovolcano,54.05,159.45,1536.0
Katmai,United States,Stratovolcano,58.28,-154.96,2047.0
Kavachi,Solomon Islands,Submarine,-9.02,157.95,-20.0
Kelut,Indonesia,Stratovolcano,-7.93,112.31,1731.0
Khodutka,Russia,Stratovolcano,52.06,157.7,2090.0
Kick 'em Jenny,Grenada,Submarine,12.3,-61.64,-185.0
Kikhpinych,Russia,Stratovolcano,54.49,160.25,1552.0
Kilimanjaro,Tanzania,Stratovolcano,3.07,37.35,5895.0
Kliuchevskoi,Russia,Stratovolcano,56.06,160.64,4835.0
Kone,Ethiopia,Caldera,8.8,39.69,1619.0
Koshelev,Russia,Stratovolcano,51.36,156.75,1812.0
Krakatau,Indonesia,Stratovolcano,-6.1,105.42,813.0
Kronotsky,Russia,Stratovolcano,54.75,160.53,3528.0
Kukak,United States,Stratovolcano,58.45,-154.36,2043.0
Kutcharo,Japan,Caldera,43.61,144.44,999.0
Kuwae,Vanuatu,Caldera,-16.83,168.54,-2.0
Lamington,Papua New Guinea,Stratovolcano,-8.95,148.15,1680.0
Lanzarote,Spain,Fissure vents,29.03,-13.63,670.0
Lereboleng,Indonesia,Complex Volcano,-8.36,122.84,1117.0
Lewotolo,Indonesia,Stratovolcano,-8.27,123.51,1423.0
Lipari,Italy,Stratovolcano,38.48,14.95,602.0
Loihi,United States,Submarine,18.92,-155.27,-975.0
Lolo,Papua New Guinea,Stratovolcano,-5.47,150.51,805.0
Loloru,Papua New Guinea,Stratovolcano,-6.52,155.62,1887.0
Longonot,Kenya,Stratovolcano,-0.91,36.45,2776.0
Maderas,Nicaragua,Stratovolcano,11.45,-85.52,1394.0
Mahawu,Indonesia,Stratovolcano,1.36,124.86,1324.0
Maly Semiachik,Russia,Caldera,54.13,159.67,1560.0
Mariveles,Philippines,Stratovolcano,14.52,120.47,1388.0
Masaya,Nicaragua,Caldera,11.98,-86.16,635.0
Mashu,Japan,Caldera,43.57,144.57,855.0
Mauna Loa,United States,Shield,19.48,-155.61,4170.0
McDonald Islands,Australia,Complex Volcano,-53.03,72.6,230.0
Mega Basalt Field,EthiopiaKenya,Pyroclastic Cone,37.42,4.08,1067.0
Menengai,Kenya,Shield,-0.2,36.07,2278.0
Merbabu,Indonesia,Stratovolcano,-7.45,110.43,3145.0
Methana,Greece,Dome,37.62,23.34,760.0
Michael,United Kingdom,Stratovolcano,-57.78,-26.45,990.0
Mílos,Greece,Stratovolcano,36.7,24.44,751.0
Moffett,United States,Stratovolcano,51.94,-176.75,1196.0
Momotombo,Nicaragua,Stratovolcano,12.42,-86.54,1297.0
Mono Lake Vol Field,United States,Volcanic Field,38.0,-119.03,2121.0
Moti,Indonesia,Stratovolcano,0.45,127.4,950.0
Nantai,Japan,Stratovolcano,36.76,139.48,2486.0
Nemo Peak,Russia,Caldera,49.57,154.81,1018.0
Newberry,United States,Shield,43.72,-121.23,2434.0
Ngauruhoe,New Zealand,Stratovolcano,-39.13,175.64,1978.0
Nipesotsu-Maruyama,Japan,Stratovolcano,43.45,143.04,2013.0
Nyambeni Hills,Kenya,Shield,0.23,37.87,750.0
Nyiragongo,Democratic Republic of Congo,Stratovolcano,-1.52,29.25,3470.0
Ojos del Salado,Chile/Argentina,Stratovolcano,-27.12,-68.55,6887.0
Okmok,United States,Shield,53.43,-168.13,1073.0
Ol Doinyo Lengai,Tanzania,Stratovolcano,-2.76,39.91,2962.0
Oraefajokull,Iceland,Stratovolcano,64.0,-16.65,2119.0
Pacaya,Guatemala,Complex Volcano,14.38,-90.6,2552.0
Pago,Papua New Guinea,Caldera,-5.58,150.52,742.0
Paricutin,Mexico,Cinder Cone,19.5,-102.2,3170.0
Pauzhetka,Russia,Dome,51.45,156.97,1070.0
Pavlof Sister,United States,Stratovolcano,55.45,-161.84,2142.0
Peuet Sague,Indonesia,Complex Volcano,4.91,96.33,2801.0
"Pilas, Las",Nicaragua,Stratovolcano,11.54,-85.62,1700.0
Pinatubo,Phillippines,Stratovolcano,15.13,120.35,1486.0
Piton de la Fournaise,France,Shield,-21.23,55.71,2631.0
Popocatepetl,Mexico,Stratovolcano,19.02,-98.62,5246.0
Purace,Colombia,Stratovolcano,2.32,-76.4,4650.0
Rabaul,Papua New Guinea,Shield,-4.27,152.2,688.0
Raikoke,Russia,Stratovolcano,48.29,153.25,551.0
Rajabasa,Indonesia,Stratovolcano,-5.78,105.63,1281.0
Rasshua,Russia,Stratovolcano,47.77,153.02,956.0
Rausu,Japan,Stratovolcano,44.07,145.13,1660.0
Reventador,Ecuador,Stratovolcano,-0.08,-77.66,3562.0
Roundtop,United States,Stratovolcano,54.8,-163.59,1871.0
Rudakov,Russia,Stratovolcano,45.88,149.83,542.0
Rumble IV,New Zealand,Submarine,-36.13,178.05,500.0
Sabancaya,Peru,Stratovolcano,-15.78,-71.85,5967.0
Sakura-jima,Japan,Stratovolcano,31.59,130.66,1117.0
San Cristobal,Nicaragua,Stratovolcano,12.7,-87.0,1745.0
San Vicente,Cape Verde Islands,Stratovolcano,16.9,-25.0,697.0
Sangay,Ecuador,Stratovolcano,-2.0,-78.34,5230.0
Santa Maria,Guatemala,Stratovolcano,14.76,-91.55,3772.0
